event_id,timestamp,principal_id,principal_type,action,resource_id,resource_type,region,tags_present,tag_count,public_ip,privilege_level,namespace,ttl_minutes,source_ip,user_agent,correlation_id
evt-ae740f6929f2,2024-06-01T16:07:14Z,arn:aws:iam::123456789012:user/dev-5,IAMUser,PutObject,vol-bc2111fadab4,volume,ap-southeast-1,True,5,56.93.250.1,low,production,18,90.34.22.107,jenkins/2.414,corr-9be3c4d9dfff4542
evt-18cc1689fea5,2024-06-01T04:06:37Z,arn:aws:iam::123456789012:role/ci-runner-2,AssumedRole,RunInstances,i-d2a81cca6600,spot_instance,us-east-1,True,2,,high,analytics,22,67.86.149.172,github-actions/2.0,corr-94d0a456311b401a
evt-71a4eb6f65ec,2024-06-05T09:27:16Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,AssumedRole,PutObject,i-362704175ba1,ec2_instance,ap-southeast-1,True,2,,high,dev,10,38.67.172.22,kubectl/1.28,corr-64d1d74e99764a1f
evt-366a338fa644,2024-06-12T02:32:29Z,arn:aws:iam::123456789012:user/dev-30,IAMUser,RunInstances,i-882e5f1b9b95,spot_instance,us-east-1,True,5,,high,staging,18,143.152.115.242,terraform/1.5,corr-61869e7743914800
evt-39e1c3a02b0d,2024-06-10T10:10:02Z,arn:aws:iam::123456789012:user/dev-13,IAMUser,PutObject,bucket-ea987df30225,s3_bucket,ap-southeast-1,True,2,,medium,monitoring,46,127.182.112.114,boto3/1.28,corr-c4574823b7794d3f
evt-e30912f8c33a,2024-06-02T17:00:58Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-4,AssumedRole,RunInstances,i-a5195bd34792,ec2_instance,ap-southeast-1,True,2,146.254.49.207,low,production,16,197.158.44.128,boto3/1.28,corr-bab5052307a84d76
evt-98dbe0993369,2024-06-12T03:10:29Z,arn:aws:iam::123456789012:user/dev-30,IAMUser,TerminateInstances,i-14ab467b0aed,spot_instance,us-east-1,False,0,30.105.250.24,high,monitoring,9,208.28.232.34,kubectl/1.28,corr-61869e7743914800
evt-84d351155692,2024-06-07T14:15:59Z,arn:aws:iam::123456789012:role/ci-runner-3,AssumedRole,TerminateInstances,bucket-3b643b24eca7,s3_bucket,eu-west-1,True,2,,low,cicd,60,32.71.143.225,github-actions/2.0,corr-9be3c4d9dfff4542
evt-c096732325ae,2024-06-26T05:41:05Z,arn:aws:iam::123456789012:user/svc-67,IAMUser,ListBuckets,bucket-ec98325787c6,s3_bucket,us-east-1,False,0,91.234.88.209,high,analytics,20,205.152.43.173,github-actions/2.0,corr-cfd1c5b1568042a1
evt-57afa71cd2cb,2024-06-16T12:24:51Z,arn:aws:iam::123456789012:user/dev-6,IAMUser,AssumeRole,i-366239c33db6,ec2_instance,us-east-1,True,6,150.93.229.229,low,production,63,243.176.173.253,kubectl/1.28,corr-773bc29762c7400a
evt-d081a4076940,2024-06-04T15:37:22Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,AssumedRole,AssumeRole,bucket-42fb565d5e6d,s3_bucket,ap-southeast-1,True,5,109.11.154.71,low,cicd,34,26.135.241.97,boto3/1.28,corr-7b6d3ba8c6d141c7
evt-73f8324de782,2024-06-25T15:42:18Z,arn:aws:iam::123456789012:user/dev-8,IAMUser,CreateVolume,bucket-d3b5b1343e2b,s3_bucket,eu-west-1,True,5,,low,cicd,33,14.32.190.89,terraform/1.5,corr-b3e8603ca2484770
evt-516da464088d,2024-06-12T02:33:29Z,arn:aws:iam::123456789012:user/dev-30,IAMUser,RunInstances,i-cd6202229856,spot_instance,us-east-1,False,0,230.202.176.245,high,staging,15,11.147.40.89,terraform/1.5,corr-61869e7743914800
evt-c430f69ad4db,2024-06-25T02:06:10Z,arn:aws:iam::123456789012:user/dev-25,IAMUser,RunInstances,i-e424b07ca342,spot_instance,eu-west-1,False,0,50.161.61.191,high,monitoring,9,48.98.110.190,github-actions/2.0,corr-16e18d34813746eb
evt-bed9dafdd8e7,2024-06-14T16:14:56Z,arn:aws:iam::123456789012:user/dev-5,IAMUser,AttachVolume,i-93c0d7fc2cd6,spot_instance,us-east-1,True,4,33.180.106.242,low,cicd,17,227.213.235.188,kubectl/1.28,corr-0554a90312744dd5
evt-66bf3abd7763,2024-06-16T10:02:47Z,arn:aws:iam::123456789012:user/dev-3,IAMUser,TerminateInstances,bucket-4b4de8019423,s3_bucket,ap-southeast-1,True,4,,medium,staging,3,106.180.4.180,terraform/1.5,corr-8f830d56f32b4acc
evt-46af1bb563ba,2024-06-29T17:26:22Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,AssumedRole,GetObject,vol-a555522ca7a7,volume,ap-southeast-1,True,6,179.219.117.241,low,cicd,3,90.50.217.35,kubectl/1.28,corr-8f830d56f32b4acc
evt-c2f77d824535,2024-06-21T13:48:30Z,arn:aws:iam::123456789012:user/dev-6,IAMUser,RunInstances,bucket-1729c77e10ba,s3_bucket,ap-southeast-1,True,2,193.157.161.182,low,production,15,106.44.254.225,terraform/1.5,corr-d65c79f9ed91428d
evt-2f8541f5bba0,2024-06-27T16:18:21Z,arn:aws:iam::123456789012:user/dev-1,IAMUser,RunInstances,i-81b6a2194629,spot_instance,us-east-1,True,6,11.207.60.55,low,analytics,20,134.234.76.190,github-actions/2.0,corr-b3e8603ca2484770
evt-544186e4d4d5,2024-06-30T01:43:57Z,arn:aws:iam::123456789012:user/dev-3,IAMUser,RunInstances,bucket-e3b8ec179bae,s3_bucket,us-west-2,True,1,,medium,dev,16,30.231.172.32,boto3/1.28,corr-53c18392bc074e14
evt-1584b42a61a5,2024-06-08T13:55:54Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,AssumedRole,CreateVolume,bucket-daa6606a6622,s3_bucket,eu-west-1,True,4,252.112.125.225,low,staging,20,166.110.74.4,kubectl/1.28,corr-993a680332394305
evt-4cc1dc2bad84,2024-06-24T16:06:55Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-2,AssumedRole,AttachVolume,bucket-f8ef8ff0ecde,s3_bucket,us-east-1,True,2,,low,staging,22,103.37.114.100,jenkins/2.414,corr-aebc4062eb134b23
evt-3e471cec7006,2024-06-28T15:27:44Z,arn:aws:iam::123456789012:role/ci-runner-2,AssumedRole,GetObject,bucket-aa6f9f7f63b4,s3_bucket,ap-southeast-1,True,8,166.53.19.95,low,production,18,229.78.90.223,jenkins/2.414,corr-ae1bb27a4e114163
evt-da60ae8cc2ef,2024-06-05T14:37:25Z,arn:aws:iam::123456789012:user/dev-6,IAMUser,PutObject,bucket-2172432d2cb9,s3_bucket,eu-west-1,True,7,6.145.251.254,low,staging,18,236.67.193.156,kubectl/1.28,corr-117056643b1d4c0b
evt-d6e1ed12f6f8,2024-06-02T12:40:38Z,arn:aws:iam::123456789012:user/dev-1,IAMUser,PutObject,i-976f54ce1e0d,spot_instance,eu-west-1,True,4,253.103.104.17,high,staging,10,222.250.166.222,kubectl/1.28,corr-64d1d74e99764a1f
evt-af08c473a760,2024-06-28T03:49:36Z,arn:aws:iam::123456789012:user/dev-22,IAMUser,RunInstances,i-adbb39d5a5ac,spot_instance,eu-west-1,True,1,159.67.192.40,high,staging,10,213.84.224.12,boto3/1.28,corr-846a584936214008
evt-f3d8bb2c9f66,2024-06-25T16:25:56Z,arn:aws:iam::123456789012:user/dev-9,IAMUser,CreateVolume,i-f731d8d909e9,ec2_instance,ap-southeast-1,True,2,,medium,staging,48,190.248.191.211,kubectl/1.28,corr-c2cbfdd507644c73
evt-b98035e14d74,2024-06-21T15:55:49Z,arn:aws:iam::123456789012:user/dev-5,IAMUser,GetObject,i-84b00c3c7eaf,ec2_instance,us-east-1,True,2,,medium,production,16,188.66.232.163,github-actions/2.0,corr-6f2fb28d544c4bef
evt-91ea91331aa1,2024-06-18T15:44:33Z,arn:aws:iam::123456789012:user/dev-14,IAMUser,PutObject,i-a17b5f7bfeec,ec2_instance,us-east-1,True,6,,medium,analytics,8,110.53.85.203,github-actions/2.0,corr-9c90a93429d24582
evt-5650e0b2cb17,2024-06-14T10:37:28Z,arn:aws:iam::123456789012:user/dev-1,IAMUser,GetObject,i-eea59f3c35be,spot_instance,eu-west-1,True,2,,low,production,41,44.146.73.47,jenkins/2.414,corr-9be3c4d9dfff4542
evt-a5105ed44cee,2024-06-02T11:27:07Z,arn:aws:iam::123456789012:user/dev-4,IAMUser,GetObject,bucket-205d0afc2b3c,s3_bucket,ap-southeast-1,True,3,225.138.43.20,medium,production,46,185.212.10.4,jenkins/2.414,corr-2d3e24735b0c47b8
evt-3004cbc0bf21,2024-06-15T17:43:36Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-4,AssumedRole,GetObject,i-1a233dda4db4,spot_instance,us-east-1,True,8,,low,monitoring,9,22.136.190.184,boto3/1.28,corr-e6d62a928fa44c8c
evt-ca98fe901b0e,2024-06-07T15:11:09Z,arn:aws:iam::123456789012:user/dev-13,IAMUser,GetObject,i-424f625bdcb2,ec2_instance,eu-west-1,True,8,47.152.5.232,medium,staging,24,146.16.60.250,github-actions/2.0,corr-23b58748105b4cd4
evt-7143ca6f74c5,2024-06-12T10:19:53Z,arn:aws:iam::123456789012:role/ci-runner-1,AssumedRole,PutObject,i-b3f49f28195c,ec2_instance,us-west-2,True,2,104.255.74.243,low,cicd,40,40.2.169.166,terraform/1.5,corr-ce3ff6ad9ad84c68
evt-5243dffafcc9,2024-06-06T09:51:45Z,arn:aws:iam::123456789012:user/dev-12,IAMUser,AssumeRole,i-337140c41def,ec2_instance,us-west-2,True,5,,medium,staging,58,103.102.116.90,terraform/1.5,corr-74982404e1224037
evt-75a6e4b8b6b4,2024-06-13T11:18:33Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,AssumedRole,CreateVolume,i-7c75ab108f8f,spot_instance,eu-west-1,True,6,,low,monitoring,27,125.22.151.230,kubectl/1.28,corr-453bf738b708495f
evt-ba633b000efb,2024-06-28T03:49:06Z,arn:aws:iam::123456789012:user/dev-22,IAMUser,RunInstances,i-0c9a0a572f40,spot_instance,eu-west-1,False,0,,high,staging,15,40.39.151.217,boto3/1.28,corr-846a584936214008
evt-d97957a8b24a,2024-06-05T16:00:56Z,arn:aws:iam::123456789012:user/dev-4,IAMUser,GetObject,bucket-166c28a018ec,s3_bucket,us-east-1,True,1,55.238.164.231,low,staging,62,17.197.145.155,jenkins/2.414,corr-2687e4e3f8e04cb6
evt-ef2fabbf61af,2024-06-03T14:44:59Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,AssumedRole,RunInstances,i-88be0cb96925,ec2_instance,ap-southeast-1,True,7,102.19.5.65,low,production,3,235.69.167.172,github-actions/2.0,corr-d40fed836c7547bf
evt-ea35e0d9b450,2024-06-10T10:27:52Z,arn:aws:iam::123456789012:role/ci-runner-4,AssumedRole,ListBuckets,i-ab72ef2251b8,ec2_instance,us-west-2,True,8,117.222.204.122,medium,staging,60,186.191.172.124,terraform/1.5,corr-b583d59588c742ba
evt-82489fdbedd3,2024-06-19T13:15:41Z,arn:aws:iam::123456789012:role/ci-runner-1,AssumedRole,PutObject,i-f89ba566178c,spot_instance,eu-west-1,True,7,64.126.167.112,low,monitoring,33,229.76.2.107,boto3/1.28,corr-b3e8603ca2484770
evt-48801d16fe69,2024-06-20T09:58:04Z,arn:aws:iam::123456789012:user/dev-13,IAMUser,ListBuckets,i-e0046484814c,spot_instance,ap-southeast-1,True,6,,low,analytics,55,116.85.17.246,aws-cli/2.13,corr-426a1bb5ba2842bb
evt-f9eab007241b,2024-06-26T14:41:38Z,arn:aws:iam::123456789012:user/dev-8,IAMUser,GetObject,i-cd7abf5d6caf,ec2_instance,us-west-2,True,4,,medium,cicd,56,81.48.196.193,aws-cli/2.13,corr-6f3eae2e49b347e2
evt-8f4929e33eb7,2024-06-16T13:09:51Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,AssumedRole,GetObject,i-c65eb1a3adfc,spot_instance,eu-west-1,True,7,203.141.73.94,low,production,82,64.114.1.84,kubectl/1.28,corr-1fd34d04d2f44d80
evt-86f64004d498,2024-06-28T14:56:08Z,arn:aws:iam::123456789012:user/dev-5,IAMUser,PutObject,bucket-c42b5930eb4d,s3_bucket,us-west-2,True,3,14.214.157.80,medium,analytics,56,74.92.60.231,kubectl/1.28,corr-d65c79f9ed91428d
evt-b315fd1ec83c,2024-06-10T09:21:01Z,arn:aws:iam::123456789012:user/dev-4,IAMUser,GetObject,i-d946203dbcd0,spot_instance,us-east-1,True,5,,high,staging,22,67.194.78.72,github-actions/2.0,corr-cffb7ea77c524ed2
evt-d6132baf3267,2024-06-20T13:17:19Z,arn:aws:iam::123456789012:user/dev-1,IAMUser,GetObject,i-51cdd12bd7d4,ec2_instance,us-west-2,True,8,138.41.39.138,low,production,3,114.63.180.249,github-actions/2.0,corr-9be3c4d9dfff4542
evt-f65b8d539f2a,2024-06-16T14:15:56Z,arn:aws:iam::123456789012:user/dev-2,IAMUser,PutObject,i-3066ef4e843f,ec2_instance,ap-southeast-1,True,8,,low,dev,24,118.99.183.250,boto3/1.28,corr-b3e8603ca2484770
evt-479b68031a57,2024-06-08T12:04:13Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,AssumedRole,ListBuckets,i-b4f47a594077,spot_instance,eu-west-1,True,2,243.93.249.2,medium,dev,83,121.253.83.46,jenkins/2.414,corr-ee04067db3ab4c07
evt-8443121f5885,2024-06-30T13:15:02Z,arn:aws:iam::123456789012:user/dev-13,IAMUser,ListBuckets,bucket-445c28dcc09b,s3_bucket,ap-southeast-1,True,2,,medium,dev,42,103.167.144.210,boto3/1.28,corr-7ef9a2906c2d4132
evt-44496eef4dcd,2024-06-27T00:09:18Z,arn:aws:iam::123456789012:user/dev-22,IAMUser,RunInstances,i-a9a568f76932,spot_instance,ap-southeast-1,False,0,,high,monitoring,22,179.213.209.39,terraform/1.5,corr-a333f8c702f244ba
evt-4f428a44799d,2024-06-09T16:04:10Z,arn:aws:iam::123456789012:user/dev-12,IAMUser,RunInstances,i-97b2432411ef,ec2_instance,us-east-1,True,6,,high,staging,20,242.128.9.234,jenkins/2.414,corr-1ccd8d8351614a7c
evt-dfcd6423adc2,2024-06-01T15:06:19Z,arn:aws:iam::123456789012:user/dev-12,IAMUser,AssumeRole,i-c6af217d3748,spot_instance,us-east-1,True,6,,medium,monitoring,47,29.39.121.53,kubectl/1.28,corr-af5b60537e5b40a4
evt-668e47f7e9a2,2024-06-16T15:37:56Z,arn:aws:iam::123456789012:user/dev-11,IAMUser,RunInstances,vol-ae2429f1bb09,volume,ap-southeast-1,True,2,179.133.33.91,medium,cicd,51,187.167.232.178,jenkins/2.414,corr-30158c8b69c64e73
evt-6c642fc3527b,2024-06-28T03:52:36Z,arn:aws:iam::123456789012:user/dev-22,IAMUser,RunInstances,i-5dcecc631c35,spot_instance,eu-west-1,False,0,167.171.74.36,high,production,12,235.241.71.195,terraform/1.5,corr-846a584936214008
evt-489f0995473a,2024-06-24T13:10:15Z,arn:aws:iam::123456789012:user/dev-1,IAMUser,ListBuckets,bucket-9e681d4f5f34,s3_bucket,us-east-1,True,5,214.241.63.168,low,analytics,20,107.91.251.233,terraform/1.5,corr-ce3ff6ad9ad84c68
evt-0ab274f68987,2024-06-21T00:45:34Z,arn:aws:iam::123456789012:user/dev-23,IAMUser,RunInstances,i-308466f6f760,spot_instance,us-west-2,True,7,,high,staging,21,221.243.230.67,github-actions/2.0,corr-2e0c9ceade3648c2
evt-44df1006edb8,2024-06-04T11:30:19Z,arn:aws:iam::123456789012:user/dev-2,IAMUser,ListBuckets,sg-67b453ab3c62,security_group,us-west-2,True,3,,high,dev,75,9.194.31.240,jenkins/2.414,corr-a4122fee9abb49b9
evt-3f4f6d204d1f,2024-06-24T14:51:40Z,arn:aws:iam::123456789012:user/dev-12,IAMUser,CreateVolume,i-ce1b50bd3805,ec2_instance,us-east-1,True,3,,medium,cicd,32,216.86.28.25,github-actions/2.0,corr-fe590033c62a4961
evt-1869957fda7a,2024-06-18T11:30:25Z,arn:aws:iam::123456789012:user/dev-10,IAMUser,PutObject,i-67d5f448afee,ec2_instance,us-west-2,True,8,244.190.55.116,low,staging,67,250.12.203.198,jenkins/2.414,corr-aaa14dc055f04d88
evt-f9a115010ec7,2024-06-15T10:12:34Z,arn:aws:iam::123456789012:role/ci-runner-6,AssumedRole,ListBuckets,vol-9224ebb1789c,volume,us-east-1,True,8,66.65.165.169,low,monitoring,83,245.49.244.127,terraform/1.5,corr-4d6a7717e0c54692
evt-010a857bca83,2024-06-25T02:04:40Z,arn:aws:iam::123456789012:user/dev-25,IAMUser,RunInstances,i-85c19d10ad64,spot_instance,eu-west-1,True,5,133.97.43.62,high,analytics,19,126.123.243.166,kubectl/1.28,corr-16e18d34813746eb
evt-ea47a257cccc,2024-06-29T16:39:04Z,arn:aws:iam::123456789012:user/dev-14,IAMUser,PutObject,i-a77fba2e148b,ec2_instance,ap-southeast-1,True,4,,medium,analytics,89,250.143.164.198,kubectl/1.28,corr-a585346c19b94dc7
evt-95fc65bd3446,2024-06-11T10:26:35Z,arn:aws:sts::123456789012:assumed-role/analytics-role/session-2,AssumedRole,GetObject,i-a6f704c6883f,spot_instance,us-west-2,False,0,,high,production,7,219.199.221.27,terraform/1.5,corr-5fc7d34408794a4e
evt-efd5c04d8329,2024-06-03T03:49:47Z,arn:aws:iam::123456789012:user/dev-22,IAMUser,RunInstances,i-a11b16f99096,spot_instance,ap-southeast-1,False,0,159.167.113.166,high,production,25,211.237.154.167,github-actions/2.0,corr-26d2b5b4a08649dc
evt-8db8b9f084b5,2024-06-18T12:04:21Z,arn:aws:iam::123456789012:user/dev-9,IAMUser,AssumeRole,vol-4d1d54c70f04,volume,us-east-1,True,7,252.201.1.18,low,staging,73,238.253.232.240,terraform/1.5,corr-d9122afaf7a842d7
evt-78ed88e4069f,2024-06-12T21:13:32Z,arn:aws:iam::123456789012:user/dev-14,IAMUser,RunInstances,i-814a208ed877,spot_instance,us-west-2,True,5,,medium,staging,20,119.76.79.10,boto3/1.28,corr-958b6873a06c40e6
evt-2f3ecbee2e2e,2024-06-10T10:00:05Z,arn:aws:iam::123456789012:user/dev-2,IAMUser,GetObject,i-4371ef702f80,spot_instance,us-east-1,True,3,,medium,production,3,214.216.232.142,kubectl/1.28,corr-bab5052307a84d76
evt-12852d08e86b,2024-06-28T03:50:06Z,arn:aws:iam::123456789012:user/dev-22,IAMUser,RunInstances,i-2093cec96727,spot_instance,eu-west-1,False,0,,high,cicd,10,73.229.119.137,jenkins/2.414,corr-846a584936214008
evt-ae86fa74eb4c,2024-06-28T11:28:21Z,arn:aws:iam::123456789012:user/dev-6,IAMUser,TerminateInstances,vol-c624e5654ecb,volume,eu-west-1,True,3,,low,cicd,56,241.16.177.101,kubectl/1.28,corr-8f830d56f32b4acc
evt-3cafc5bdfa5a,2024-06-21T00:41:34Z,arn:aws:iam::123456789012:user/dev-23,IAMUser,RunInstances,i-cc1c59202510,spot_instance,us-west-2,False,0,,high,dev,10,218.63.153.130,github-actions/2.0,corr-2e0c9ceade3648c2
evt-a4f18318ee70,2024-06-27T14:21:19Z,arn:aws:iam::123456789012:user/dev-11,IAMUser,PutObject,vol-b920150ea38f,volume,us-east-1,True,7,,low,dev,7,118.6.214.29,jenkins/2.414,corr-c2cbfdd507644c73
evt-81be937d9371,2024-06-11T15:51:40Z,arn:aws:iam::123456789012:user/dev-6,IAMUser,GetObject,i-18f4eb43c747,ec2_instance,ap-southeast-1,True,1,24.138.248.32,low,production,89,217.208.113.62,boto3/1.28,corr-3761b4df72e7441a
evt-32ee2f414e77,2024-06-08T12:55:24Z,arn:aws:iam::123456789012:user/dev-12,IAMUser,GetObject,bucket-831c0380a6cc,s3_bucket,ap-southeast-1,True,8,,medium,production,23,240.96.107.186,github-actions/2.0,corr-10e6ae696e224f45
