event_id,timestamp,namespace,pod_name,event_type,controller_owner,service_account,image_name,privileged,host_network,public_exposure,node_port,ttl_minutes,labels_present,cpu_request,memory_request,correlation_id
k8s-ea28a83e5ae4,2024-06-23T10:52:49Z,dev,cache-dev-299871,SecretMounted,CronJob,ci-runner,golang:1.21,False,False,False,0,24,True,1868m,2406Mi,corr-4526dd3a47df4135
k8s-0dd23a66f548,2024-06-22T14:56:37Z,monitoring,db-migrate-mon-673d5f,PodDeleted,Job,analytics-sa,nginx:1.25,False,False,False,0,6,True,1093m,3329Mi,corr-aee2f014bdfa472a
k8s-edba488112e4,2024-06-25T12:42:54Z,analytics,scanner-ana-d42849,DeploymentCreated,DaemonSet,admin-sa,python:3.11-slim,False,False,False,0,56,True,447m,310Mi,corr-6fdf39c3ef254fc3
k8s-aa9cfe4d4829,2024-06-07T16:14:34Z,analytics,api-ana-2010a8,PodDeleted,Deployment,ci-runner,python:3.11-slim,False,False,False,0,7,True,1760m,2333Mi,corr-d71fbc0f76e74c0e
k8s-16305011c721,2024-06-17T16:41:32Z,staging,cache-sta-69fd00,RoleBindingCreated,Deployment,ci-runner,node:20-alpine,False,False,False,0,52,True,135m,2647Mi,corr-a7ef26907d844f40
k8s-5ad66aedb4fd,2024-06-01T16:12:11Z,staging,worker-sta-00d287,PodDeleted,Job,debug-sa,redis:7,False,False,False,0,67,True,1614m,543Mi,corr-bca8c3968bc84f98
k8s-555ec8d68fd0,2024-06-02T09:19:23Z,cicd,builder-cic-a7923b,ServiceCreated,HPA,debug-sa,ubuntu:22.04,False,False,False,0,83,True,1662m,1882Mi,corr-24cd993e1b9e4566
k8s-e3da665d4c1c,2024-06-09T17:16:13Z,cicd,scanner-cic-9c0031,PodDeleted,HPA,ci-runner,grafana:10.0,False,False,False,0,6,True,720m,4017Mi,corr-1772835d9ff44927
k8s-5e84c73d8ecd,2024-06-28T12:02:05Z,monitoring,test-runner-mon-853c99,PodDeleted,DaemonSet,ci-runner,python:3.11-slim,False,False,False,0,74,True,1086m,3166Mi,corr-7676c5ea045a4aff
k8s-df4a6e5d9143,2024-06-25T00:18:57Z,analytics,builder-ana-06f235,PodCreated,None,admin-sa,node:20-alpine,True,True,True,31299,13,True,1713m,3047Mi,corr-4cf56a506796438b
k8s-1c90eda932c4,2024-06-24T12:25:24Z,production,batch-pro-797cb6,SecretMounted,Job,monitor-sa,ci-runner:latest,False,False,False,0,50,True,1546m,1382Mi,corr-7bf9733bb8834a05
k8s-1b98fc86a678,2024-06-14T16:37:59Z,production,api-pro-bca309,ServiceCreated,HPA,ci-runner,ci-runner:latest,False,False,False,0,26,True,1452m,699Mi,corr-b996a0189ba84f3c
k8s-446b4f846385,2024-06-23T15:16:29Z,production,db-migrate-pro-37f7f6,RoleBindingCreated,Deployment,analytics-sa,redis:7,False,False,False,0,24,True,478m,4057Mi,corr-769a32cb81af4a7e
k8s-32edb6e62123,2024-06-08T14:09:14Z,staging,db-migrate-sta-5f77de,PodCreated,Job,default,ubuntu:22.04,False,False,False,0,78,True,1646m,1115Mi,corr-0a6c23dbf5b746ae
k8s-ef79569b06c9,2024-06-17T10:45:25Z,analytics,test-runner-ana-e444be,SecretMounted,Deployment,analytics-sa,redis:7,False,False,False,0,29,True,721m,4091Mi,corr-1197d5e0da0b4495
k8s-f4785b9ad8e8,2024-06-07T17:59:52Z,production,batch-pro-618660,PodCreated,HPA,deploy-sa,custom-app:v2.1,False,False,False,0,20,True,1745m,3700Mi,corr-935d305374034e50
k8s-50bfc59e7490,2024-06-17T12:53:08Z,staging,db-migrate-sta-018281,PodCreated,Job,admin-sa,nginx:1.25,False,False,False,0,33,True,1425m,2959Mi,corr-e74596dcd00d4746
