resource_id,resource_type,created_time,deleted_time,ttl_minutes,namespace,owner,public_exposure,privilege_level,ephemeral_label
sg-0571869621f3,security_group,2024-06-30T00:34:20Z,2024-06-30T00:44:20Z,10,analytics,arn:aws:iam::123456789012:user/dev-14,False,medium,ephemeral
vol-0947e0828ee7,volume,2024-06-23T17:42:22Z,,731,production,arn:aws:iam::123456789012:user/dev-1,False,low,persistent
i-6971831082ef,ec2_instance,2024-06-26T12:16:15Z,2024-06-26T12:51:15Z,35,cicd,arn:aws:iam::123456789012:role/ci-runner-3,False,low,ephemeral
i-857ed32e70c8,ec2_instance,2024-06-25T13:05:38Z,2024-06-25T13:13:38Z,8,dev,arn:aws:iam::123456789012:user/dev-14,False,medium,ephemeral
sg-906c78fc2904,security_group,2024-06-29T09:21:49Z,2024-06-29T09:58:49Z,37,cicd,arn:aws:iam::123456789012:role/ci-runner-6,False,high,ephemeral
i-4bb84461d0aa,spot_instance,2024-06-01T05:17:21Z,,1146,monitoring,arn:aws:iam::123456789012:role/ci-runner-4,False,low,persistent
vol-ab54c0fdcf16,volume,2024-06-13T08:27:48Z,2024-06-13T08:40:48Z,13,cicd,arn:aws:iam::123456789012:role/ci-runner-1,False,high,ephemeral
i-172f30eee9f8,spot_instance,2024-06-05T01:56:57Z,2024-06-05T02:08:57Z,12,production,arn:aws:iam::123456789012:role/ci-runner-4,False,low,ephemeral
i-7e26e4bbed67,spot_instance,2024-06-07T08:19:28Z,2024-06-07T08:25:28Z,6,production,arn:aws:iam::123456789012:user/dev-13,False,low,ephemeral
vol-bb819d03b208,volume,2024-06-11T20:59:26Z,2024-06-11T21:06:26Z,7,staging,arn:aws:iam::123456789012:role/ci-runner-4,False,low,ephemeral
sg-1825174f0c07,security_group,2024-06-26T00:41:11Z,,186,analytics,arn:aws:iam::123456789012:user/dev-5,False,medium,persistent
i-97b86a9bc110,spot_instance,2024-06-19T21:21:57Z,,205,production,arn:aws:iam::123456789012:user/dev-10,False,medium,persistent
i-729a83ec02c8,spot_instance,2024-06-12T05:53:20Z,2024-06-12T06:18:20Z,25,production,arn:aws:iam::123456789012:user/dev-1,False,high,ephemeral
i-8c80112f5a05,spot_instance,2024-06-04T13:32:06Z,2024-06-04T13:52:06Z,20,staging,arn:aws:iam::123456789012:user/dev-6,False,low,ephemeral
i-d3f70e77324e,ec2_instance,2024-06-25T14:01:35Z,2024-06-25T14:56:35Z,55,dev,arn:aws:iam::123456789012:user/dev-13,False,high,ephemeral
bucket-b72bc8f318d4,s3_bucket,2024-06-28T08:44:52Z,2024-06-28T09:08:52Z,24,dev,arn:aws:iam::123456789012:user/dev-6,False,low,ephemeral
sg-5fdbe308cf3e,security_group,2024-06-04T20:40:44Z,2024-06-04T20:53:44Z,13,dev,arn:aws:iam::123456789012:role/ci-runner-1,True,high,ephemeral
i-0106d78c5861,spot_instance,2024-06-07T16:00:26Z,2024-06-07T16:12:26Z,12,monitoring,arn:aws:iam::123456789012:user/dev-4,False,low,ephemeral
sg-9114329040af,security_group,2024-06-10T10:22:05Z,2024-06-10T10:38:05Z,16,monitoring,arn:aws:iam::123456789012:role/ci-runner-3,False,low,ephemeral
bucket-e65f3a84407b,s3_bucket,2024-06-20T15:19:56Z,2024-06-20T15:32:56Z,13,dev,arn:aws:iam::123456789012:role/ci-runner-5,False,medium,ephemeral
vol-094831b19950,volume,2024-06-05T08:30:26Z,2024-06-05T08:43:26Z,13,staging,arn:aws:iam::123456789012:role/ci-runner-5,False,medium,ephemeral
i-0231a02e8336,ec2_instance,2024-06-20T03:18:38Z,2024-06-20T03:33:38Z,15,production,arn:aws:sts::123456789012:assumed-role/analytics-role/session-2,False,medium,ephemeral
i-8e8870b13c29,spot_instance,2024-06-20T18:51:59Z,2024-06-20T19:05:59Z,14,monitoring,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,True,high,ephemeral
i-f22cc4706de1,ec2_instance,2024-06-21T10:02:59Z,2024-06-21T10:04:59Z,2,analytics,arn:aws:iam::123456789012:user/dev-11,False,medium,ephemeral
i-074e52aabbde,ec2_instance,2024-06-04T23:42:45Z,2024-06-04T23:56:45Z,14,production,arn:aws:iam::123456789012:user/dev-13,True,high,ephemeral
vol-1598b56e6ee1,volume,2024-06-10T22:00:35Z,2024-06-10T22:53:35Z,53,production,arn:aws:iam::123456789012:user/dev-8,False,low,ephemeral
i-da60225cf58a,ec2_instance,2024-06-19T04:16:16Z,2024-06-19T04:42:16Z,26,production,arn:aws:iam::123456789012:user/dev-2,False,medium,ephemeral
i-0f02537aa5dc,spot_instance,2024-06-01T01:05:40Z,2024-06-01T01:11:40Z,6,production,arn:aws:iam::123456789012:role/ci-runner-4,False,low,ephemeral
bucket-31a7519db41b,s3_bucket,2024-06-03T08:58:39Z,2024-06-03T09:23:39Z,25,staging,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,False,low,ephemeral
vol-c6f3a0110678,volume,2024-06-22T04:08:09Z,2024-06-22T04:17:09Z,9,cicd,arn:aws:iam::123456789012:role/ci-runner-5,False,high,ephemeral
i-8349e07b16b3,spot_instance,2024-06-05T19:37:01Z,2024-06-05T20:29:01Z,52,cicd,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
i-9a0b466e9ab2,spot_instance,2024-06-07T17:01:34Z,2024-06-07T17:12:34Z,11,monitoring,arn:aws:iam::123456789012:role/ci-runner-6,True,high,ephemeral
i-5c4bd36aa274,spot_instance,2024-06-20T10:53:05Z,2024-06-20T11:01:05Z,8,analytics,arn:aws:iam::123456789012:user/dev-12,False,low,ephemeral
bucket-4c44aca7a53c,s3_bucket,2024-06-01T21:18:06Z,2024-06-01T21:21:06Z,3,analytics,arn:aws:iam::123456789012:role/ci-runner-7,True,high,ephemeral
vol-4c8e1178a427,volume,2024-06-15T16:55:35Z,2024-06-15T17:01:35Z,6,cicd,arn:aws:iam::123456789012:user/dev-9,False,high,ephemeral
vol-b55dcd409bb5,volume,2024-06-17T04:01:15Z,2024-06-17T04:15:15Z,14,monitoring,arn:aws:iam::123456789012:role/ci-runner-4,False,medium,ephemeral
sg-018e8c487eca,security_group,2024-06-02T09:20:03Z,2024-06-02T09:24:03Z,4,analytics,arn:aws:sts::123456789012:assumed-role/analytics-role/session-2,False,medium,ephemeral
bucket-92b3ebff422a,s3_bucket,2024-06-22T09:46:56Z,2024-06-22T10:00:56Z,14,dev,arn:aws:iam::123456789012:user/dev-1,False,medium,ephemeral
bucket-7dede48b97a0,s3_bucket,2024-06-14T12:30:23Z,2024-06-14T12:32:23Z,2,production,arn:aws:iam::123456789012:user/dev-8,False,medium,ephemeral
i-2dca4fdd7bf0,spot_instance,2024-06-10T21:43:22Z,2024-06-10T22:34:22Z,51,production,arn:aws:iam::123456789012:user/dev-8,False,high,ephemeral
i-6cfca9691624,ec2_instance,2024-06-18T12:39:55Z,2024-06-18T12:43:55Z,4,dev,arn:aws:iam::123456789012:user/dev-9,False,low,ephemeral
i-d382148116f9,ec2_instance,2024-06-24T06:02:20Z,2024-06-24T06:42:20Z,40,production,arn:aws:iam::123456789012:user/dev-11,False,high,ephemeral
vol-f98b63e674f3,volume,2024-06-01T19:43:11Z,2024-06-01T19:51:11Z,8,cicd,arn:aws:iam::123456789012:user/dev-10,False,high,ephemeral
i-0d03ae27f5ec,spot_instance,2024-06-12T23:45:38Z,2024-06-12T23:53:38Z,8,dev,arn:aws:iam::123456789012:user/dev-2,False,low,ephemeral
vol-11b7e9256e6f,volume,2024-06-06T01:28:14Z,2024-06-06T01:54:14Z,26,cicd,arn:aws:iam::123456789012:role/ci-runner-3,False,low,ephemeral
vol-ad4ec4932657,volume,2024-06-16T00:44:22Z,2024-06-16T00:51:22Z,7,production,arn:aws:iam::123456789012:role/ci-runner-7,True,high,ephemeral
sg-04fdaa324721,security_group,2024-06-15T14:04:14Z,2024-06-15T14:17:14Z,13,staging,arn:aws:iam::123456789012:user/dev-3,False,high,ephemeral
i-a2677cb45abe,spot_instance,2024-06-29T21:36:49Z,,969,monitoring,arn:aws:iam::123456789012:user/dev-4,False,low,persistent
vol-311d353788c8,volume,2024-06-06T03:38:46Z,2024-06-06T03:51:46Z,13,dev,arn:aws:iam::123456789012:user/dev-5,False,low,ephemeral
i-b721f8029675,ec2_instance,2024-06-11T03:29:06Z,2024-06-11T03:35:06Z,6,production,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
vol-daea1b8be906,volume,2024-06-11T06:11:38Z,2024-06-11T06:24:38Z,13,staging,arn:aws:iam::123456789012:role/ci-runner-6,False,medium,ephemeral
i-41ef1cb416a5,ec2_instance,2024-06-08T19:34:55Z,2024-06-08T20:15:55Z,41,staging,arn:aws:iam::123456789012:user/dev-11,False,low,ephemeral
sg-af29f8ccfe5a,security_group,2024-06-14T13:18:19Z,2024-06-14T13:54:19Z,36,cicd,arn:aws:sts::123456789012:assumed-role/analytics-role/session-2,False,low,ephemeral
bucket-e9d6049d3c20,s3_bucket,2024-06-19T07:39:21Z,2024-06-19T07:51:21Z,12,dev,arn:aws:iam::123456789012:role/ci-runner-3,False,low,ephemeral
i-1bab22eacacc,spot_instance,2024-06-11T17:03:03Z,2024-06-11T17:12:03Z,9,monitoring,arn:aws:iam::123456789012:role/ci-runner-6,False,low,ephemeral
bucket-dcdc98ddb9af,s3_bucket,2024-06-03T05:46:02Z,2024-06-03T05:59:02Z,13,cicd,arn:aws:iam::123456789012:user/dev-2,False,low,ephemeral
i-6e65cbd63e9e,spot_instance,2024-06-25T22:08:43Z,2024-06-25T22:11:43Z,3,monitoring,arn:aws:iam::123456789012:user/dev-13,False,low,ephemeral
vol-d2609d372484,volume,2024-06-05T02:26:31Z,2024-06-05T03:25:31Z,59,cicd,arn:aws:iam::123456789012:user/dev-5,False,low,ephemeral
vol-d22aa0e3b059,volume,2024-06-08T21:05:39Z,2024-06-08T21:19:39Z,14,dev,arn:aws:iam::123456789012:role/ci-runner-6,False,low,ephemeral
i-77522d3552f4,ec2_instance,2024-06-02T05:17:41Z,,1350,analytics,arn:aws:iam::123456789012:role/ci-runner-5,False,low,persistent
i-fbf2ef8213d4,ec2_instance,2024-06-22T19:29:09Z,2024-06-22T20:10:09Z,41,cicd,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,False,low,ephemeral
